Begeni,Yorum,Paylasim
12,0,0
45,2,0
130,0,4
109,8,1
155,0,0
41,2,4
57,0,3
63,5,9
77,15,10
61,11,3
116,5,8
62,3,5
36,0,2
54,3,3
49,1,0
69,1,6
89,0,0
89,4,2
136,1,22
92,22,10
203,8,5
34,0,8
50,0,2
171,9,27
73,3,7
73,0,4
70,2,5
59,4,15
94,2,3
81,34,1
161,16,2
110,63,2
100,2,0
156,8,1
42,0,0
1000,527,66
87,0,6
143,6,18
423,166,22
93,9,20
58,0,1
148,2,28
104,12,12
487,171,36
97,2,11
285,4,13
112,3,4
44,3,4
32,0,9
231,54,31
47,1,2
55,1,9
67,0,6
95,1,2
76,4,0
135,0,1
164,23,16
97,25,19
46,0,3
105,1,17
48,3,2
318,24,14
54,0,3
57,0,1
96,4,7
75,2,1
94,2,10
44,0,7
68,1,1
78,4,7
45,0,2
37,0,4
55,0,1
